date,time,state,county,city,latitude,longitude,type,value,unit,source,description,Station
2/05/2025,1045 AM, NM, Cibola, Milan 3.1nnw, 35.2108, -107.9153, PKGUST, 40, mph, MESOWEST, Peak Wind Gust,ABQ
2/05/2025,0324 PM, NM, Cibola, I-40 @ SR-6 (NMDOT), 34.9832, -107.1724, PKGUST, 40, mph, MESOWEST, Peak Wind Gust,ABQ
2/05/2025,1115 AM, NM, Cibola, Grants-Milan Airport, 35.1667, -107.9, PKGUST, 49, mph, AWOS, Peak Wind Gust,ABQ
2/05/2025,1237 PM, NM, Colfax, Raton Crews Airport, 36.7333, -104.5, PKGUST, 54, mph, ASOS, Peak Wind Gust,ABQ
2/05/2025,1149 AM, NM, Curry, Clovis, 34.4598, -103.2017, PKGUST, 40, mph, CWOP, Peak Wind Gust,ABQ
2/05/2025,0130 PM, NM, Guadalupe, Newkirk, 35.0712, -104.2671, PKGUST, 42, mph, MESOWEST, Peak Wind Gust,ABQ
2/05/2025,0215 PM, NM, Guadalupe, Thompson Cattle, 34.9841, -104.9933, PKGUST, 43, mph, MESOWEST, Peak Wind Gust,ABQ
2/05/2025,0100 PM, NM, Guadalupe, SE Vaughn, 34.4761, -105.0838, PKGUST, 49, mph, MESOWEST, Peak Wind Gust,ABQ
2/05/2025,0336 PM, NM, McKinley, Gallup Airport, 35.5167, -108.8, PKGUST, 43, mph, ASOS, Peak Wind Gust,ABQ
2/05/2025,1242 PM, NM, Quay, Tucumcari Muni Airport, 35.1833, -103.6, PKGUST, 41, mph, ASOS, Peak Wind Gust,ABQ
2/05/2025,1229 PM, NM, Quay, Endee 2 SW, 35.1073, -103.1244, PKGUST, 46, mph, WT-MESO, Peak Wind Gust,ABQ
2/05/2025,0948 AM, NM, Rio Arriba, Coyote 7 SSW (Coyote), 36.0731, -106.6572, PKGUST, 40, mph, RAWS, Peak Wind Gust,ABQ
2/05/2025,0134 PM, NM, San Miguel, Las Vegas Muni Airport, 35.65, -105.1333, PKGUST, 43, mph, ASOS, Peak Wind Gust,ABQ
