header_line
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14
2/07/2025   800 AM  PA  Crawford  Cochranton  3  NE  41.55580  -80.00960  SNOW_12  T  Inch  Trained Spotter  12-hourly Snowfall
2/07/2025   815 AM  PA  Erie  North East  1  WNW  42.21680  -79.84740  SNOW_12  0.5  Inch  Trained Spotter  12-hourly Snowfall
2/07/2025   730 AM  PA  Erie  Union City  1  WNW  41.89890  -79.85470  SNOW_12  T  Inch  Trained Spotter  12-hourly Snowfall
2/07/2025   500 AM  PA  Erie  Edinboro  2  NW  41.89670  -80.15670  SNOW_12  T  Inch  Trained Spotter  12-hourly Snowfall
2/07/2025   745 AM  PA  Erie  Corry  1  NNW  41.93250  -79.63950  SNOW_24  0.5  Inch  CoCoRaHS  24-hourly Snowfall
2/07/2025   600 AM  OH  Lake  Madison  1  WSW  41.76830  -81.06970  SNOW_D  0.5  Inch  CoCoRaHS  Snow on Ground
2/07/2025   700 AM  PA  Crawford  Springboro  3  WNW  41.81660  -80.43330  SNOW_D  4.0  Inch  Co-Op Observer  Snow on Ground
2/07/2025   700 AM  PA  Crawford  Titusville  2  W  41.63330  -79.70000  SNOW_D  3.0  Inch  Co-Op Observer  Snow on Ground
2/07/2025   800 AM  PA  Crawford  Cochranton  3  NE  41.55580  -80.00960  SNOW_D  1.0  Inch  Trained Spotter  Snow on Ground
2/07/2025   745 AM  PA  Erie  Corry  1  NNW  41.93250  -79.63950  SNOW_D  7.0  Inch  CoCoRaHS  Snow on Ground
2/07/2025   730 AM  PA  Erie  Union City  1  WNW  41.89890  -79.85470  SNOW_D  5.0  Inch  Trained Spotter  Snow on Ground
2/07/2025   500 AM  PA  Erie  Edinboro  2  NW  41.89670  -80.15670  SNOW_D  5.0  Inch  Trained Spotter  Snow on Ground
2/07/2025   815 AM  PA  Erie  North East  1  WNW  42.21680  -79.84740  SNOW_D  1.0  Inch  Trained Spotter  Snow on Ground
""
$$
""
IVERSON
