header_line
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14
1/22/2025  1000 AM  NC  Bladen  Kelly      34.47000  -78.32000  SNOW  6.5  Inch  Public  Storm Total Snow
1/22/2025   320 PM  NC  Bladen  White Lake      34.63880  -78.50030  SNOW  5.0  Inch  Public  Storm Total Snow
1/22/2025   700 AM  NC  Bladen  Elizabethtown  6  NW  34.684710  -78.69039  SNOW  3.8  Inch  Cocorahs  Storm Total Snow
1/22/2025   830 AM  NC  Brunswick  Bolivia      34.07070  -78.14680  SNOW  6.0  Inch  Public  Storm Total Snow
1/22/2025   900 AM  NC  Brunswick  Ocean Isle Beach      33.89000  -78.43000  SNOW  5.0  Inch  Public  Storm Total Snow
1/22/2025   700 AM  NC  Brunswick  Leland  4  S  34.18175  -78.01534  SNOW  5.0  Inch  Cocorahs  Storm Total Snow
1/22/2025  1052 AM  NC  Brunswick  Calabash  3  NNW  33.94000  -78.60000  SNOW  4.5  Inch  Public  Storm Total Snow
1/22/2025   700 AM  NC  Brunswick  Calabash  2  WNW  33.90893  -78.60696  SNOW  4.5  Inch  Cocorahs  Storm Total Snow
1/22/2025  1023 AM  NC  Brunswick  Sunset Beach      33.87470  -78.51000  SNOW  4.5  Inch  Trained Spotter  Storm Total Snow
1/22/2025   930 AM  NC  Brunswick  Leland      34.24060  -78.00570  SNOW  4.5  Inch  County Official  Storm Total Snow
1/22/2025   720 AM  NC  Brunswick  Leland  1  WSW  34.2024  -78.0948  SNOW  4.1  Inch  Cocorahs  Storm Total Snow
1/22/2025  1045 AM  NC  Brunswick  Ash      34.07000  -78.52000  SNOW  4.0  Inch  Trained Spotter  Storm Total Snow
1/22/2025  1045 AM  NC  Brunswick  Varnamtown      33.94190  -78.23970  SNOW  4.0  Inch  Public  Storm Total Snow
1/22/2025   806 AM  NC  Brunswick  Southport      33.92000  -78.02000  SNOW  3.9  Inch  Trained Spotter  Storm Total Snow
1/22/2025   700 AM  NC  Brunswick  Holden Beach  1  WNW  33.91760  -78.33410  SNOW  3.8  Inch  Cocorahs  Storm Total Snow
1/22/2025   945 AM  NC  Brunswick  Boiling Spring Lake      34.03190  -78.06700  SNOW  3.5  Inch  Public  Storm Total Snow
